ID do Aventureiro,Nome do Personagem,Classe Mágica,Poder Mágico (%)
111,Dr. Soninho,Cavaleiro de Pijama,35.7
112,Xamã do Chocolate Quente,Druida de Sobremesas,87.1
113,Rainha do Puff,Feiticeira Hortelã,50.8
114,Mago do Café,Elfo da Wi-Fi,94.3
115,Duque do Abraço,Paladino das Tapiocas,62.2
116,Troll das Redes Sociais,Bardo das Memes,14.5
117,Elfo do Wi-Fi,Arcanista do TikTok,99.0
118,Bruxa do Bolo de Cenoura,Curandeiro de Resfriados,71.4
119,Cavaleiro do Sofá,Guardião do Sofá,83.9
120,Sereia do Banho de Espuma,Pixie do Café Expresso,46.6
121,Sir Croissant,Barbarian Vegano,55.0
122,Luna Brilhinho,Maga do Glitter,90.7
123,Bolinho de Chuva,Ninja Noturno,67.3
124,Thorfinn Puff,Druida de Sobremesas,78.8
125,Dona Cenoura,Feiticeira Hortelã,39.1
126,Zé do Pijama Flamejante,Cavaleiro de Pijama,81.5
127,Glimmer Sparkle,Elfo da Wi-Fi,97.2
128,Chico Bolacha,Paladino das Tapiocas,54.4
129,Madame Puf,Pixie do Café Expresso,69.9
130,Bruxo Zé Gotinha,Curandeiro de Resfriados,86.2
131,Princesa Wi-Fi,Arcanista do TikTok,73.7
132,Goblin do Delivery,Xamã do Delivery,26.8
133,Mestre do Pão de Queijo,Guardião do Sofá,91.1
134,Fada do Carregador,Ladino do Desconto,48.5
135,Tio do Churrasco Místico,Caçador de Meias Perdidas,60.0
136,Nina Nuvem,Sacerdote do Fone de Ouvido,84.8
137,Bob Esponja Encantado,Bardo das Memes,32.3
138,Vovó Meteoro,Necromante de Plantas de Casa,95.6
139,Capitão Pipoca,Alquimista de Smoothie,70.2
140,Lady Crocante,Mago do Micro-ondas,51.9
141,Dr. Soninho,Cavaleiro de Pijama,88.4
142,Xamã do Chocolate Quente,Druida de Sobremesas,64.6
143,Rainha do Puff,Feiticeira Hortelã,77.8
144,Mago do Café,Elfo da Wi-Fi,93.5
145,Duque do Abraço,Paladino das Tapiocas,40.3
146,Troll das Redes Sociais,Bardo das Memes,17.6
147,Elfo do Wi-Fi,Arcanista do TikTok,98.3
148,Bruxa do Bolo de Cenoura,Curandeiro de Resfriados,66.9
149,Cavaleiro do Sofá,Guardião do Sofá,82.7
150,Sereia do Banho de Espuma,Pixie do Café Expresso,34.2
151,Sir Croissant,Ninja Noturno,75.3
152,Luna Brilhinho,Maga do Glitter,89.0
153,Bolinho de Chuva,Barbarian Vegano,58.6
154,Thorfinn Puff,Druida de Sobremesas,92.1
155,Dona Cenoura,Feiticeira Hortelã,43.7
156,Zé do Pijama Flamejante,Cavaleiro de Pijama,63.4
157,Glimmer Sparkle,Elfo da Wi-Fi,96.0
158,Chico Bolacha,Paladino das Tapiocas,52.8
159,Madame Puf,Pixie do Café Expresso,79.3
160,Bruxo Zé Gotinha,Curandeiro de Resfriados,67.5
161,Princesa Wi-Fi,Arcanista do TikTok,86.9
162,Goblin do Delivery,Xamã do Delivery,29.4
163,Mestre do Pão de Queijo,Guardião do Sofá,76.2
164,Fada do Carregador,Ladino do Desconto,41.0
165,Tio do Churrasco Místico,Caçador de Meias Perdidas,88.8
166,Nina Nuvem,Sacerdote do Fone de Ouvido,58.1
167,Bob Esponja Encantado,Bardo das Memes,23.9
168,Vovó Meteoro,Necromante de Plantas de Casa,94.4
169,Capitão Pipoca,Alquimista de Smoothie,69.6
170,Lady Crocante,Mago do Micro-ondas,80.3
171,Dr. Soninho,Cavaleiro de Pijama,37.2
172,Xamã do Chocolate Quente,Druida de Sobremesas,88.7
173,Rainha do Puff,Feiticeira Hortelã,51.5
174,Mago do Café,Elfo da Wi-Fi,95.1
175,Duque do Abraço,Paladino das Tapiocas,63.9
176,Troll das Redes Sociais,Bardo das Memes,16.2
177,Elfo do Wi-Fi,Arcanista do TikTok,99.5
178,Bruxa do Bolo de Cenoura,Curandeiro de Resfriados,72.8
179,Cavaleiro do Sofá,Guardião do Sofá,85.4
180,Sereia do Banho de Espuma,Pixie do Café Expresso,47.7
181,Sir Croissant,Barbarian Vegano,56.4
182,Luna Brilhinho,Maga do Glitter,91.2
183,Bolinho de Chuva,Ninja Noturno,68.7
184,Thorfinn Puff,Druida de Sobremesas,79.0
185,Dona Cenoura,Feiticeira Hortelã,40.6
186,Zé do Pijama Flamejante,Cavaleiro de Pijama,82.3
187,Glimmer Sparkle,Elfo da Wi-Fi,97.8
188,Chico Bolacha,Paladino das Tapiocas,55.9
189,Madame Puf,Pixie do Café Expresso,70.1
190,Bruxo Zé Gotinha,Curandeiro de Resfriados,87.6
191,Princesa Wi-Fi,Arcanista do TikTok,74.4
192,Goblin do Delivery,Xamã do Delivery,27.0
193,Mestre do Pão de Queijo,Guardião do Sofá,92.5
194,Fada do Carregador,Ladino do Desconto,49.2
195,Tio do Churrasco Místico,Caçador de Meias Perdidas,61.8
196,Nina Nuvem,Sacerdote do Fone de Ouvido,85.7
197,Bob Esponja Encantado,Bardo das Memes,33.1
198,Vovó Meteoro,Necromante de Plantas de Casa,96.3
199,Capitão Pipoca,Alquimista de Smoothie,71.9
200,Lady Crocante,Mago do Micro-ondas,52.6
201,Dr. Soninho,Cavaleiro de Pijama,89.1
202,Xamã do Chocolate Quente,Druida de Sobremesas,65.3
203,Rainha do Puff,Feiticeira Hortelã,78.5
204,Mago do Café,Elfo da Wi-Fi,94.0
205,Duque do Abraço,Paladino das Tapiocas,41.7
206,Troll das Redes Sociais,Bardo das Memes,18.4
207,Elfo do Wi-Fi,Arcanista do TikTok,98.9
208,Bruxa do Bolo de Cenoura,Curandeiro de Resfriados,67.2
209,Cavaleiro do Sofá,Guardião do Sofá,83.3
210,Sereia do Banho de Espuma,Pixie do Café Expresso,35.8
211,Sir Croissant,Ninja Noturno,76.6
212,Luna Brilhinho,Maga do Glitter,90.0
213,Bolinho de Chuva,Barbarian Vegano,59.9
214,Thorfinn Puff,Druida de Sobremesas,93.2
215,Dona Cenoura,Feiticeira Hortelã,44.1
216,Zé do Pijama Flamejante,Cavaleiro de Pijama,64.8
217,Glimmer Sparkle,Elfo da Wi-Fi,96.5
218,Chico Bolacha,Paladino das Tapiocas,53.5
219,Madame Puf,Pixie do Café Expresso,80.0
220,Bruxo Zé Gotinha,Curandeiro de Resfriados,68.3
221,Princesa Wi-Fi,Arcanista do TikTok,87.4
222,Goblin do Delivery,Xamã do Delivery,30.1
223,Mestre do Pão de Queijo,Guardião do Sofá,77.9
224,Fada do Carregador,Ladino do Desconto,42.2
225,Tio do Churrasco Místico,Caçador de Meias Perdidas,89.7
226,Nina Nuvem,Sacerdote do Fone de Ouvido,59.4
227,Bob Esponja Encantado,Bardo das Memes,24.7
228,Vovó Meteoro,Necromante de Plantas de Casa,95.0
229,Capitão Pipoca,Alquimista de Smoothie,70.8
230,Lady Crocante,Mago do Micro-ondas,81.1
231,Dr. Soninho,Cavaleiro de Pijama,38.9
232,Xamã do Chocolate Quente,Druida de Sobremesas,89.5
233,Rainha do Puff,Feiticeira Hortelã,52.0
234,Mago do Café,Elfo da Wi-Fi,95.8
235,Duque do Abraço,Paladino das Tapiocas,65.6
236,Troll das Redes Sociais,Bardo das Memes,16.9
237,Elfo do Wi-Fi,Arcanista do TikTok,99.7
238,Bruxa do Bolo de Cenoura,Curandeiro de Resfriados,73.0
239,Cavaleiro do Sofá,Guardião do Sofá,86.6
240,Sereia do Banho de Espuma,Pixie do Café Expresso,48.3
241,Sir Croissant,Barbarian Vegano,57.7
242,Luna Brilhinho,Maga do Glitter,92.3
243,Bolinho de Chuva,Ninja Noturno,69.2
244,Thorfinn Puff,Druida de Sobremesas,80.4
245,Dona Cenoura,Feiticeira Hortelã,41.9
246,Zé do Pijama Flamejante,Cavaleiro de Pijama,83.8
247,Glimmer Sparkle,Elfo da Wi-Fi,98.4
248,Chico Bolacha,Paladino das Tapiocas,56.1
249,Madame Puf,Pixie do Café Expresso,71.3
250,Bruxo Zé Gotinha,Curandeiro de Resfriados,88.2
251,Princesa Wi-Fi,Arcanista do TikTok,75.5
252,Goblin do Delivery,Xamã do Delivery,28.6
253,Mestre do Pão de Queijo,Guardião do Sofá,93.1
254,Fada do Carregador,Ladino do Desconto,50.7
255,Tio do Churrasco Místico,Caçador de Meias Perdidas,62.4
256,Nina Nuvem,Sacerdote do Fone de Ouvido,86.0
257,Bob Esponja Encantado,Bardo das Memes,34.5
258,Vovó Meteoro,Necromante de Plantas de Casa,97.1
259,Capitão Pipoca,Alquimista de Smoothie,72.6
260,Lady Crocante,Mago do Micro-ondas,53.8
261,Dr. Soninho,Cavaleiro de Pijama,90.3
262,Xamã do Chocolate Quente,Druida de Sobremesas,66.4
263,Rainha do Puff,Feiticeira Hortelã,79.7
264,Mago do Café,Elfo da Wi-Fi,94.6
265,Duque do Abraço,Paladino das Tapiocas,42.1
266,Troll das Redes Sociais,Bardo das Memes,19.8
267,Elfo do Wi-Fi,Arcanista do TikTok,99.1
268,Bruxa do Bolo de Cenoura,Curandeiro de Resfriados,68.9
269,Cavaleiro do Sofá,Guardião do Sofá,84.5
270,Sereia do Banho de Espuma,Pixie do Café Expresso,36.2
271,Sir Croissant,Ninja Noturno,77.4
272,Luna Brilhinho,Maga do Glitter,91.6
273,Bolinho de Chuva,Barbarian Vegano,60.8
274,Thorfinn Puff,Druida de Sobremesas,94.9
275,Dona Cenoura,Feiticeira Hortelã,45.3
276,Zé do Pijama Flamejante,Cavaleiro de Pijama,65.2
277,Glimmer Sparkle,Elfo da Wi-Fi,97.0
278,Chico Bolacha,Paladino das Tapiocas,54.0
279,Madame Puf,Pixie do Café Expresso,81.8
280,Bruxo Zé Gotinha,Curandeiro de Resfriados,69.1
281,Princesa Wi-Fi,Arcanista do TikTok,88.5
282,Goblin do Delivery,Xamã do Delivery,31.3
283,Mestre do Pão de Queijo,Guardião do Sofá,78.7
284,Fada do Carregador,Ladino do Desconto,43.6
285,Tio do Churrasco Místico,Caçador de Meias Perdidas,90.9
286,Nina Nuvem,Sacerdote do Fone de Ouvido,60.5
287,Bob Esponja Encantado,Bardo das Memes,25.4
288,Vovó Meteoro,Necromante de Plantas de Casa,95.5
289,Capitão Pipoca,Alquimista de Smoothie,71.0
290,Lady Crocante,Mago do Micro-ondas,82.2
291,Dr. Soninho,Cavaleiro de Pijama,39.7
292,Xamã do Chocolate Quente,Druida de Sobremesas,90.8
293,Rainha do Puff,Feiticeira Hortelã,53.3
294,Mago do Café,Elfo da Wi-Fi,96.2
295,Duque do Abraço,Paladino das Tapiocas,66.8
296,Troll das Redes Sociais,Bardo das Memes,17.1
297,Elfo do Wi-Fi,Arcanista do TikTok,99.4
298,Bruxa do Bolo de Cenoura,Curandeiro de Resfriados,74.2
299,Cavaleiro do Sofá,Guardião do Sofá,87.3
300,Sereia do Banho de Espuma,Pixie do Café Expresso,49.9
301,Sir Croissant,Barbarian Vegano,58.0
302,Luna Brilhinho,Maga do Glitter,93.4
303,Bolinho de Chuva,Ninja Noturno,70.6
304,Thorfinn Puff,Druida de Sobremesas,81.1
305,Dona Cenoura,Feiticeira Hortelã,42.5
306,Zé do Pijama Flamejante,Cavaleiro de Pijama,84.0
307,Glimmer Sparkle,Elfo da Wi-Fi,98.6
308,Chico Bolacha,Paladino das Tapiocas,57.4
309,Madame Puf,Pixie do Café Expresso,72.9
310,Bruxo Zé Gotinha,Curandeiro de Resfriados,89.8
311,Princesa Wi-Fi,Arcanista do TikTok,76.3
312,Goblin do Delivery,Xamã do Delivery,29.8
313,Mestre do Pão de Queijo,Guardião do Sofá,94.2
314,Fada do Carregador,Ladino do Desconto,51.2
315,Tio do Churrasco Místico,Caçador de Meias Perdidas,63.1
316,Nina Nuvem,Sacerdote do Fone de Ouvido,87.9
317,Bob Esponja Encantado,Bardo das Memes,35.0
318,Vovó Meteoro,Necromante de Plantas de Casa,97.7
319,Capitão Pipoca,Alquimista de Smoothie,73.5
320,Lady Crocante,Mago do Micro-ondas,54.7
321,Dr. Soninho,Cavaleiro de Pijama,91.0
322,Xamã do Chocolate Quente,Druida de Sobremesas,67.1
323,Rainha do Puff,Feiticeira Hortelã,80.6
324,Mago do Café,Elfo da Wi-Fi,95.3
325,Duque do Abraço,Paladino das Tapiocas,43.8
326,Troll das Redes Sociais,Bardo das Memes,20.3
327,Elfo do Wi-Fi,Arcanista do TikTok,99.8
328,Bruxa do Bolo de Cenoura,Curandeiro de Resfriados,69.7
329,Cavaleiro do Sofá,Guardião do Sofá,85.2
330,Sereia do Banho de Espuma,Pixie do Café Expresso,37.6
331,Sir Croissant,Ninja Noturno,78.2
332,Luna Brilhinho,Maga do Glitter,92.9
333,Bolinho de Chuva,Barbarian Vegano,61.4
334,Thorfinn Puff,Druida de Sobremesas,95.7
335,Dona Cenoura,Feiticeira Hortelã,46.0
336,Zé do Pijama Flamejante,Cavaleiro de Pijama,66.5
337,Glimmer Sparkle,Elfo da Wi-Fi,97.5
338,Chico Bolacha,Paladino das Tapiocas,55.3
339,Madame Puf,Pixie do Café Expresso,82.1
340,Bruxo Zé Gotinha,Curandeiro de Resfriados,70.4
341,Princesa Wi-Fi,Arcanista do TikTok,89.6
342,Goblin do Delivery,Xamã do Delivery,32.0
343,Mestre do Pão de Queijo,Guardião do Sofá,79.5
344,Fada do Carregador,Ladino do Desconto,44.3
345,Tio do Churrasco Místico,Caçador de Meias Perdidas,91.3
346,Nina Nuvem,Sacerdote do Fone de Ouvido,61.7
347,Bob Esponja Encantado,Bardo das Memes,26.2
348,Vovó Meteoro,Necromante de Plantas de Casa,96.1
349,Capitão Pipoca,Alquimista de Smoothie,72.2
350,Lady Crocante,Mago do Micro-ondas,83.0
351,Dr. Soninho,Cavaleiro de Pijama,40.9
352,Xamã do Chocolate Quente,Druida de Sobremesas,91.5
353,Rainha do Puff,Feiticeira Hortelã,54.6
354,Mago do Café,Elfo da Wi-Fi,96.9
355,Duque do Abraço,Paladino das Tapiocas,67.0
356,Troll das Redes Sociais,Bardo das Memes,18.0
357,Elfo do Wi-Fi,Arcanista do TikTok,99.3
358,Bruxa do Bolo de Cenoura,Curandeiro de Resfriados,75.8
359,Cavaleiro do Sofá,Guardião do Sofá,88.1
360,Sereia do Banho de Espuma,Pixie do Café Expresso,50.5
361,Sir Croissant,Barbarian Vegano,59.3
362,Luna Brilhinho,Maga do Glitter,94.1
363,Bolinho de Chuva,Ninja Noturno,71.8
364,Thorfinn Puff,Druida de Sobremesas,82.7
365,Dona Cenoura,Feiticeira Hortelã,43.2
366,Zé do Pijama Flamejante,Cavaleiro de Pijama,85.4
367,Glimmer Sparkle,Elfo da Wi-Fi,98.0
368,Chico Bolacha,Paladino das Tapiocas,58.6
369,Madame Puf,Pixie do Café Expresso,73.2
370,Bruxo Zé Gotinha,Curandeiro de Resfriados,90.2
371,Princesa Wi-Fi,Arcanista do TikTok,77.1
372,Goblin do Delivery,Xamã do Delivery,30.6
373,Mestre do Pão de Queijo,Guardião do Sofá,95.4
374,Fada do Carregador,Ladino do Desconto,52.9
375,Tio do Churrasco Místico,Caçador de Meias Perdidas,64.7
376,Nina Nuvem,Sacerdote do Fone de Ouvido,88.3
377,Bob Esponja Encantado,Bardo das Memes,36.8
378,Vovó Meteoro,Necromante de Plantas de Casa,98.2
379,Capitão Pipoca,Alquimista de Smoothie,74.4
380,Lady Crocante,Mago do Micro-ondas,55.1
381,Dr. Soninho,Cavaleiro de Pijama,92.6
382,Xamã do Chocolate Quente,Druida de Sobremesas,68.5
383,Rainha do Puff,Feiticeira Hortelã,81.9
384,Mago do Café,Elfo da Wi-Fi,95.0
385,Duque do Abraço,Paladino das Tapiocas,44.5
386,Troll das Redes Sociais,Bardo das Memes,21.1
387,Elfo do Wi-Fi,Arcanista do TikTok,99.9
388,Bruxa do Bolo de Cenoura,Curandeiro de Resfriados,70.0
389,Cavaleiro do Sofá,Guardião do Sofá,86.4
390,Sereia do Banho de Espuma,Pixie do Café Expresso,38.3
391,Sir Croissant,Ninja Noturno,79.8
392,Luna Brilhinho,Maga do Glitter,93.7
393,Bolinho de Chuva,Barbarian Vegano,62.1
394,Thorfinn Puff,Druida de Sobremesas,96.6
395,Dona Cenoura,Feiticeira Hortelã,47.4
396,Zé do Pijama Flamejante,Cavaleiro de Pijama,67.8
397,Glimmer Sparkle,Elfo da Wi-Fi,98.8
398,Chico Bolacha,Paladino das Tapiocas,56.0
399,Madame Puf,Pixie do Café Expresso,83.7
400,Bruxo Zé Gotinha,Curandeiro de Resfriados,71.6
401,Princesa Wi-Fi,Arcanista do TikTok,90.4
402,Goblin do Delivery,Xamã do Delivery,33.2
403,Mestre do Pão de Queijo,Guardião do Sofá,80.9
404,Fada do Carregador,Ladino do Desconto,45.8
405,Tio do Churrasco Místico,Caçador de Meias Perdidas,92.8
406,Nina Nuvem,Sacerdote do Fone de Ouvido,62.3
407,Bob Esponja Encantado,Bardo das Memes,27.9
408,Vovó Meteoro,Necromante de Plantas de Casa,96.7
409,Capitão Pipoca,Alquimista de Smoothie,73.1
410,Lady Crocante,Mago do Micro-ondas,84.5
411,Dr. Soninho,Cavaleiro de Pijama,41.2
412,Xamã do Chocolate Quente,Druida de Sobremesas,92.2
413,Rainha do Puff,Feiticeira Hortelã,55.9
414,Mago do Café,Elfo da Wi-Fi,97.3
415,Duque do Abraço,Paladino das Tapiocas,68.4
416,Troll das Redes Sociais,Bardo das Memes,18.7
417,Elfo do Wi-Fi,Arcanista do TikTok,99.6
418,Bruxa do Bolo de Cenoura,Curandeiro de Resfriados,76.3
419,Cavaleiro do Sofá,Guardião do Sofá,89.0
420,Sereia do Banho de Espuma,Pixie do Café Expresso,51.4
421,Sir Croissant,Barbarian Vegano,60.5
422,Luna Brilhinho,Maga do Glitter,94.8
423,Bolinho de Chuva,Ninja Noturno,72.7
424,Thorfinn Puff,Druida de Sobremesas,83.3
425,Dona Cenoura,Feiticeira Hortelã,44.0
426,Zé do Pijama Flamejante,Cavaleiro de Pijama,86.1
427,Glimmer Sparkle,Elfo da Wi-Fi,98.2
428,Chico Bolacha,Paladino das Tapiocas,59.2
429,Madame Puf,Pixie do Café Expresso,74.8
430,Bruxo Zé Gotinha,Curandeiro de Resfriados,91.7
431,Princesa Wi-Fi,Arcanista do TikTok,78.0
432,Goblin do Delivery,Xamã do Delivery,31.9
433,Mestre do Pão de Queijo,Guardião do Sofá,96.0
434,Fada do Carregador,Ladino do Desconto,53.6
435,Tio do Churrasco Místico,Caçador de Meias Perdidas,65.5
436,Nina Nuvem,Sacerdote do Fone de Ouvido,89.2
437,Bob Esponja Encantado,Bardo das Memes,37.5
438,Vovó Meteoro,Necromante de Plantas de Casa,98.5
439,Capitão Pipoca,Alquimista de Smoothie,75.2
440,Lady Crocante,Mago do Micro-ondas,56.9
441,Dr. Soninho,Cavaleiro de Pijama,93.3
442,Xamã do Chocolate Quente,Druida de Sobremesas,69.0
443,Rainha do Puff,Feiticeira Hortelã,82.8
444,Mago do Café,Elfo da Wi-Fi,95.7
445,Duque do Abraço,Paladino das Tapiocas,45.1
446,Troll das Redes Sociais,Bardo das Memes,22.4
447,Elfo do Wi-Fi,Arcanista do TikTok,100.0
448,Bruxa do Bolo de Cenoura,Curandeiro de Resfriados,71.2
449,Cavaleiro do Sofá,Guardião do Sofá,87.6
450,Sereia do Banho de Espuma,Pixie do Café Expresso,39.0
451,Sir Croissant,Ninja Noturno,80.1
452,Luna Brilhinho,Maga do Glitter,94.5
453,Bolinho de Chuva,Barbarian Vegano,63.3
454,Thorfinn Puff,Druida de Sobremesas,97.4
455,Dona Cenoura,Feiticeira Hortelã,48.2
456,Zé do Pijama Flamejante,Cavaleiro de Pijama,68.9
457,Glimmer Sparkle,Elfo da Wi-Fi,99.1
458,Chico Bolacha,Paladino das Tapiocas,57.7
459,Madame Puf,Pixie do Café Expresso,84.3
460,Bruxo Zé Gotinha,Curandeiro de Resfriados,72.5
461,Princesa Wi-Fi,Arcanista do TikTok,91.1
462,Goblin do Delivery,Xamã do Delivery,34.0
463,Mestre do Pão de Queijo,Guardião do Sofá,81.8
464,Fada do Carregador,Ladino do Desconto,46.4
465,Tio do Churrasco Místico,Caçador de Meias Perdidas,93.6
466,Nina Nuvem,Sacerdote do Fone de Ouvido,63.0
467,Bob Esponja Encantado,Bardo das Memes,28.6
468,Vovó Meteoro,Necromante de Plantas de Casa,97.0
469,Capitão Pipoca,Alquimista de Smoothie,74.0
470,Lady Crocante,Mago do Micro-ondas,85.2
471,Dr. Soninho,Cavaleiro de Pijama,42.8
472,Xamã do Chocolate Quente,Druida de Sobremesas,93.0
473,Rainha do Puff,Feiticeira Hortelã,56.7
474,Mago do Café,Elfo da Wi-Fi,97.8
475,Duque do Abraço,Paladino das Tapiocas,69.3
476,Troll das Redes Sociais,Bardo das Memes,19.5
477,Elfo do Wi-Fi,Arcanista do TikTok,99.2
478,Bruxa do Bolo de Cenoura,Curandeiro de Resfriados,77.1
479,Cavaleiro do Sofá,Guardião do Sofá,89.9
480,Sereia do Banho de Espuma,Pixie do Café Expresso,52.3
481,Sir Croissant,Barbarian Vegano,61.2
482,Luna Brilhinho,Maga do Glitter,95.2
483,Bolinho de Chuva,Ninja Noturno,73.9
484,Thorfinn Puff,Druida de Sobremesas,84.6
485,Dona Cenoura,Feiticeira Hortelã,45.8
486,Zé do Pijama Flamejante,Cavaleiro de Pijama,87.5
487,Glimmer Sparkle,Elfo da Wi-Fi,98.5
488,Chico Bolacha,Paladino das Tapiocas,60.4
